gi|478482906|ref|YP_007713556.1|CAS-V|cpf1|cpf1,KK211384.1,KLE02041.1,KXB38146.1,AUKC01000013.1,AUKD01000009.1,KKR91555.1,KKQ38174.1,KIX20262.1,EDZ90881.1,LFLB01000034.1,EHR33500.1,EOS46485.1,JHWS01000001.1,KE384587.1,KE384190.1,KK211334.1,KE384028.1,KE384121.1,KFO67989.1,AKC95493.1,KL370853.1,GL995220.1,KEJ92204.1,KUJ74576.1,BBPY01000028.1,BBPZ01000036.1,KKQ36153.1,WP_003040289.1,WP_004356401.1,WP_012739647.1,WP_013282991.1,WP_018359861.1,WP_020988726.1,WP_021736722.1,KDN25524.1,WP_024988992.1,AIZ56868.1,WP_035635841.1,WP_036890108.1,WP_044910712.1,WP_044919442.1,KKP36646.1,KKT48220.1
     236.0,     228.0,     465.0,     221.0,     257.0,     232.0,      60.0,     178.0,     190.0,     156.0,       0.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,       0.0,     835.0,     835.0,     835.0,     835.0,     835.0,     836.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,     835.0,       0.0,     835.0
     236.0,     229.0,     465.0,     221.0,     257.0,     232.0,      60.0,     178.0,     190.0,     156.0,     835.0,       0.0,     153.0,     153.0,     153.0,     153.0,     153.0,     153.0,     153.0,     154.0,     153.0,     153.0,     153.0,     153.0,     153.0,       0.0,     153.0,     153.0,     153.0,     153.0,     158.0,     153.0,     153.0,     153.0,     153.0,     153.0,     154.0,     153.0,     153.0,     153.0,     153.0,     153.0,       0.0,     153.0
     236.0,     228.0,     474.0,     232.0,     260.0,     237.0,      60.0,     178.0,     190.0,     157.0,     835.0,     153.0,       0.0,     239.0,     235.0,     241.0,     237.0,     234.0,     242.0,     248.0,     233.0,     234.0,     233.0,     238.0,     237.0,       1.0,     237.0,     233.0,     234.0,     238.0,     233.0,     233.0,     239.0,     238.0,     233.0,     235.0,     234.0,     233.0,     238.0,     239.0,     233.0,     242.0,       0.0,     234.0
     236.0,     228.0,     467.0,     223.0,     265.0,     236.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     239.0,       0.0,     257.0,     265.0,     259.0,     258.0,     261.0,     259.0,     257.0,     258.0,     257.0,     257.0,     257.0,       1.0,     257.0,     257.0,     258.0,     260.0,     257.0,     257.0,     258.0,     259.0,     257.0,     257.0,     258.0,     257.0,     257.0,     258.0,     257.0,     265.0,       0.0,     257.0
     236.0,     230.0,     465.0,     225.0,     258.0,     232.0,      60.0,     178.0,     201.0,     160.0,     835.0,     153.0,     235.0,     257.0,       0.0,     203.0,     203.0,     200.0,     203.0,     202.0,     199.0,     199.0,     199.0,     199.0,     206.0,       0.0,     204.0,     199.0,     203.0,     202.0,     199.0,     199.0,     199.0,     200.0,     199.0,    1046.0,     199.0,     201.0,     202.0,     199.0,     199.0,     199.0,       0.0,     199.0
     236.0,     228.0,     465.0,     225.0,     319.0,     276.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     241.0,     265.0,     203.0,       0.0,     243.0,     242.0,     307.0,     258.0,     241.0,     242.0,     241.0,     245.0,     246.0,       1.0,     248.0,     241.0,     241.0,     244.0,     241.0,     241.0,     245.0,     241.0,     241.0,     241.0,     245.0,     241.0,     248.0,     241.0,     241.0,     290.0,       0.0,     241.0
     236.0,     228.0,     465.0,     221.0,     259.0,     233.0,      60.0,     178.0,     197.0,     156.0,     835.0,     153.0,     237.0,     259.0,     203.0,     243.0,       0.0,     204.0,     199.0,     199.0,     199.0,     199.0,     199.0,     203.0,     199.0,       0.0,     199.0,     199.0,     199.0,     208.0,     199.0,     199.0,     199.0,     199.0,     199.0,     202.0,     213.0,     200.0,     199.0,     213.0,     199.0,     201.0,       0.0,     201.0
     236.0,     228.0,     465.0,     221.0,     259.0,     232.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     234.0,     258.0,     200.0,     242.0,     204.0,       0.0,     304.0,     304.0,     304.0,     304.0,     304.0,     304.0,     304.0,       2.0,     305.0,     304.0,     304.0,     306.0,     304.0,     304.0,     304.0,     304.0,     304.0,     304.0,     304.0,     304.0,     304.0,     304.0,     304.0,     305.0,       0.0,     304.0
     236.0,     228.0,     468.0,     225.0,     323.0,     288.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     242.0,     261.0,     203.0,     307.0,     199.0,     304.0,       0.0,     272.0,     250.0,     250.0,     250.0,     260.0,     254.0,       0.0,     261.0,     250.0,     250.0,     250.0,     250.0,     250.0,     254.0,     252.0,     250.0,     250.0,     253.0,     250.0,     261.0,     250.0,     250.0,     309.0,       0.0,     250.0
     236.0,     233.0,     475.0,     237.0,     272.0,     253.0,      60.0,     178.0,     195.0,     157.0,     835.0,     154.0,     248.0,     259.0,     202.0,     258.0,     199.0,     304.0,     272.0,       0.0,     213.0,     214.0,     213.0,     222.0,     216.0,       0.0,     222.0,     213.0,     220.0,     213.0,     213.0,     213.0,     215.0,     217.0,     215.0,     216.0,     220.0,     213.0,     220.0,     217.0,     213.0,     236.0,       0.0,     213.0
     236.0,     228.0,     466.0,     221.0,     257.0,     232.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     233.0,     257.0,     199.0,     241.0,     199.0,     304.0,     250.0,     213.0,       0.0,     490.0,     490.0,     490.0,     490.0,       0.0,     490.0,     490.0,     492.0,     490.0,     490.0,     490.0,     490.0,     491.0,     490.0,     491.0,     490.0,     490.0,     490.0,     490.0,     490.0,     490.0,       0.0,     490.0
     238.0,     229.0,     465.0,     221.0,     257.0,     232.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     234.0,     258.0,     199.0,     242.0,     199.0,     304.0,     250.0,     214.0,     490.0,       0.0,     131.0,     129.0,     129.0,       0.0,     129.0,     129.0,     129.0,     129.0,     129.0,     129.0,     129.0,     131.0,     129.0,     129.0,     129.0,     133.0,     129.0,     129.0,     129.0,     130.0,       0.0,     129.0
     237.0,     228.0,     465.0,     221.0,     257.0,     232.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     233.0,     257.0,     199.0,     241.0,     199.0,     304.0,     250.0,     213.0,     490.0,     131.0,       0.0,     606.0,     603.0,       0.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,     603.0,       0.0,     603.0
     236.0,     228.0,     468.0,     222.0,     260.0,     241.0,      60.0,     178.0,     191.0,     159.0,     835.0,     153.0,     238.0,     257.0,     199.0,     245.0,     203.0,     304.0,     260.0,     222.0,     490.0,     129.0,     606.0,       0.0,     214.0,       0.0,     222.0,     204.0,     207.0,     204.0,     204.0,     204.0,     204.0,     207.0,     205.0,     204.0,     206.0,     207.0,     211.0,     204.0,     204.0,     213.0,       0.0,     204.0
     236.0,     229.0,     466.0,     229.0,     257.0,     232.0,      60.0,     178.0,     194.0,     164.0,     835.0,     153.0,     237.0,     257.0,     206.0,     246.0,     199.0,     304.0,     254.0,     216.0,     490.0,     129.0,     603.0,     214.0,       0.0,       0.0,     177.0,     165.0,     173.0,     165.0,     166.0,     165.0,     170.0,     170.0,     166.0,     172.0,     165.0,     165.0,     165.0,     165.0,     165.0,     165.0,       0.0,     165.0
       0.0,       0.0,       0.0,       0.0,       3.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       1.0,       1.0,       0.0,       1.0,       0.0,       2.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       1.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       1.0,       0.0,       3.0,       5.0,       0.0
     236.0,     229.0,     467.0,     223.0,     260.0,     240.0,      60.0,     178.0,     190.0,     159.0,     835.0,     153.0,     237.0,     257.0,     204.0,     248.0,     199.0,     305.0,     261.0,     222.0,     490.0,     129.0,     603.0,     222.0,     177.0,       0.0,       0.0,     241.0,     244.0,     241.0,     241.0,     241.0,     241.0,     247.0,     246.0,     242.0,     241.0,     242.0,     251.0,     243.0,     241.0,     249.0,       0.0,     241.0
     237.0,     228.0,     465.0,     221.0,     257.0,     232.0,      61.0,     178.0,     190.0,     157.0,     835.0,     153.0,     233.0,     257.0,     199.0,     241.0,     199.0,     304.0,     250.0,     213.0,     490.0,     129.0,     603.0,     204.0,     165.0,       0.0,     241.0,       0.0,     250.0,     249.0,     249.0,     249.0,     249.0,     249.0,     250.0,     249.0,     249.0,     249.0,     249.0,     249.0,     250.0,     249.0,       0.0,     249.0
     237.0,     228.0,     466.0,     223.0,     257.0,     232.0,      61.0,     183.0,     194.0,    1132.0,     835.0,     153.0,     234.0,     258.0,     203.0,     241.0,     199.0,     304.0,     250.0,     220.0,     492.0,     129.0,     603.0,     207.0,     173.0,       0.0,     244.0,     250.0,       0.0,     163.0,     163.0,     163.0,     164.0,     164.0,     166.0,     167.0,     167.0,     163.0,     163.0,     165.0,     164.0,     163.0,       0.0,     163.0
     236.0,     228.0,     465.0,     223.0,     260.0,     232.0,      60.0,     178.0,     194.0,     156.0,     835.0,     153.0,     238.0,     260.0,     202.0,     244.0,     208.0,     306.0,     250.0,     213.0,     490.0,     129.0,     603.0,     204.0,     165.0,       1.0,     241.0,     249.0,     163.0,       0.0,     140.0,     140.0,     140.0,     140.0,     140.0,     143.0,     141.0,     143.0,     140.0,     140.0,     140.0,     143.0,       0.0,     140.0
     237.0,     228.0,     465.0,     222.0,     257.0,     232.0,      60.0,     178.0,     190.0,     156.0,     835.0,     158.0,     233.0,     257.0,     199.0,     241.0,     199.0,     304.0,     250.0,     213.0,     490.0,     129.0,     603.0,     204.0,     166.0,       0.0,     241.0,     249.0,     163.0,     140.0,       0.0,     181.0,     182.0,     181.0,     181.0,     181.0,     181.0,     181.0,     181.0,     183.0,     181.0,     181.0,       0.0,     181.0
     236.0,     228.0,     465.0,     221.0,     257.0,     232.0,      60.0,     178.0,     190.0,     156.0,     836.0,     153.0,     233.0,     257.0,     199.0,     241.0,     199.0,     304.0,     250.0,     213.0,     490.0,     129.0,     603.0,     204.0,     165.0,       0.0,     241.0,     249.0,     163.0,     140.0,     181.0,       0.0,     222.0,     222.0,     222.0,     222.0,     222.0,     222.0,     222.0,     222.0,     222.0,     222.0,       0.0,     222.0
     236.0,     228.0,     466.0,     228.0,     257.0,     232.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     239.0,     258.0,     199.0,     245.0,     199.0,     304.0,     254.0,     215.0,     490.0,     129.0,     603.0,     204.0,     170.0,       0.0,     241.0,     249.0,     164.0,     140.0,     182.0,     222.0,       0.0,     218.0,     217.0,     217.0,     217.0,     217.0,     217.0,     219.0,     217.0,     217.0,       0.0,     217.0
     236.0,     230.0,     467.0,     224.0,     257.0,     234.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     238.0,     259.0,     200.0,     241.0,     199.0,     304.0,     252.0,     217.0,     491.0,     131.0,     603.0,     207.0,     170.0,       0.0,     247.0,     249.0,     164.0,     140.0,     181.0,     222.0,     218.0,       0.0,     201.0,     203.0,     200.0,     200.0,     202.0,     203.0,     200.0,     202.0,       0.0,     200.0
     237.0,     228.0,     465.0,     222.0,     257.0,     232.0,      61.0,     178.0,     190.0,     159.0,     835.0,     153.0,     233.0,     257.0,     199.0,     241.0,     199.0,     304.0,     250.0,     215.0,     490.0,     129.0,     603.0,     205.0,     166.0,       0.0,     246.0,     250.0,     166.0,     140.0,     181.0,     222.0,     217.0,     201.0,       0.0,     156.0,     156.0,     156.0,     156.0,     156.0,     157.0,     156.0,       0.0,     156.0
     236.0,     230.0,     466.0,     225.0,     257.0,     232.0,      60.0,     178.0,     200.0,     160.0,     835.0,     153.0,     235.0,     257.0,    1046.0,     241.0,     202.0,     304.0,     250.0,     216.0,     491.0,     129.0,     603.0,     204.0,     172.0,       0.0,     242.0,     249.0,     167.0,     143.0,     181.0,     222.0,     217.0,     203.0,     156.0,       0.0,      90.0,      92.0,      90.0,      90.0,      90.0,      90.0,       0.0,      90.0
     236.0,     228.0,     466.0,     228.0,     261.0,     236.0,      60.0,     178.0,     191.0,     156.0,     835.0,     154.0,     234.0,     258.0,     199.0,     245.0,     213.0,     304.0,     253.0,     220.0,     490.0,     129.0,     603.0,     206.0,     165.0,       0.0,     241.0,     249.0,     167.0,     141.0,     181.0,     222.0,     217.0,     200.0,     156.0,      90.0,       0.0,     211.0,     210.0,     212.0,     210.0,     216.0,       0.0,     212.0
     236.0,     228.0,     465.0,     221.0,     258.0,     232.0,      60.0,     178.0,     193.0,     156.0,     835.0,     153.0,     233.0,     257.0,     201.0,     241.0,     200.0,     304.0,     250.0,     213.0,     490.0,     133.0,     603.0,     207.0,     165.0,       0.0,     242.0,     249.0,     163.0,     143.0,     181.0,     222.0,     217.0,     200.0,     156.0,      92.0,     211.0,       0.0,     225.0,     226.0,     225.0,     225.0,       0.0,     225.0
     236.0,     228.0,     466.0,     223.0,     259.0,     239.0,      60.0,     179.0,     190.0,     156.0,     835.0,     153.0,     238.0,     257.0,     202.0,     248.0,     199.0,     304.0,     261.0,     220.0,     490.0,     129.0,     603.0,     211.0,     165.0,       0.0,     251.0,     249.0,     163.0,     140.0,     181.0,     222.0,     217.0,     202.0,     156.0,      90.0,     210.0,     225.0,       0.0,     236.0,     235.0,     242.0,       0.0,     236.0
     236.0,     228.0,     469.0,     227.0,     257.0,     232.0,      60.0,     178.0,     195.0,     156.0,     835.0,     153.0,     239.0,     258.0,     199.0,     241.0,     213.0,     304.0,     250.0,     217.0,     490.0,     129.0,     603.0,     204.0,     165.0,       1.0,     243.0,     249.0,     165.0,     140.0,     183.0,     222.0,     219.0,     203.0,     156.0,      90.0,     212.0,     226.0,     236.0,       0.0,     203.0,     203.0,       0.0,     204.0
     237.0,     228.0,     465.0,     221.0,     257.0,     232.0,      61.0,     178.0,     190.0,     157.0,     835.0,     153.0,     233.0,     257.0,     199.0,     241.0,     199.0,     304.0,     250.0,     213.0,     490.0,     129.0,     603.0,     204.0,     165.0,       0.0,     241.0,     250.0,     164.0,     140.0,     181.0,     222.0,     217.0,     200.0,     157.0,      90.0,     210.0,     225.0,     235.0,     203.0,       0.0,     230.0,       0.0,     230.0
     236.0,     228.0,     468.0,     221.0,     421.0,     290.0,      60.0,     178.0,     190.0,     156.0,     835.0,     153.0,     242.0,     265.0,     199.0,     290.0,     201.0,     305.0,     309.0,     236.0,     490.0,     130.0,     603.0,     213.0,     165.0,       3.0,     249.0,     249.0,     163.0,     143.0,     181.0,     222.0,     217.0,     202.0,     156.0,      90.0,     216.0,     225.0,     242.0,     203.0,     230.0,       0.0,       0.0,     257.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       5.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0
     236.0,     228.0,     465.0,     221.0,     257.0,     232.0,      60.0,     179.0,     190.0,     156.0,     835.0,     153.0,     234.0,     257.0,     199.0,     241.0,     201.0,     304.0,     250.0,     213.0,     490.0,     129.0,     603.0,     204.0,     165.0,       0.0,     241.0,     249.0,     163.0,     140.0,     181.0,     222.0,     217.0,     200.0,     156.0,      90.0,     212.0,     225.0,     236.0,     204.0,     230.0,     257.0,       0.0,       0.0
