AKU89597.1,AAU05358.1,AAS99314.1,AAS99260.1,AAS99279.1,AAS99258.1,AKU89601.1,ACB55311.1,AAS99310.1,AGA15924.1,AAS99301.1,AAS99288.1,AAZ79676.1,AAS99307.1,YP_077183.1,ACB55317.1,AAS99300.1,ACB55304.1,AAO88194.1,AAO88183.1,AAS99298.1,AHK22793.1,AAS99243.1,AAO88200.1,YP_077178.1,AKU89600.1,AAO88201.1,AAU05372.1,AAS99308.1,AAS99241.1,AAS99287.1,AAS99262.1,AAU05360.1,ACB55301.1,AAS99249.1,AAS99289.1,AAS99251.1,AKU89602.1,AAS99275.1,AAS99268.1,AAO88188.1,AAS99296.1,ACB55310.1,AAS99257.1,YP_680426.1,ACB55305.1,AAO88203.1,ACB55312.1,AAB95452.1,AAS99313.1,AAO88184.1,AAU05368.1,AAO88187.1,AAS99286.1,AAT48615.1,AAT48613.1,AAS99259.1,AAS99283.1,AAS99245.1,AAS99311.1,AAS99264.1,NP_043941.1,AAS99248.1,AAO88198.1,AAS99290.1,AAO88189.1,AAS99261.1,AAR07955.1,AAO88205.1,AAS99276.1,AAS99297.1,AAS99239.1,AAS99253.1,AKU89596.1,AAS99277.1,AAS99247.1,AKU89598.1,AAS99305.1,AAO88202.1,AAS99242.1,AAS99255.1,AAO88199.1,AAU05362.1,AAS99238.1,ACB55315.1,AAS99280.1,AAO88191.1,AAS99294.1,AOL02447.1,AAS99269.1,AAO88197.1,AKU89603.1,ABA71699.1,AAO88208.1,ACB55313.1,pdb|4IOV|A,AAS99285.1,AAO88185.1,AAU05370.1,AAO88206.1,AAT46339.1,AGA15925.1,AAS99306.1,ACB55306.1,ACB55309.1,AAS99278.1,AAS99274.1,AKU89599.1,AAS99271.1,YP_077180.1,AAT46337.1,AAO88186.1,AAU05364.1,AAS99284.1,AAS99282.1,AAS99265.1,3J1Q_A,AGA15926.1,AAO88193.1,AAO88190.1,NP_049542.1,AAS99312.1,AAS99309.1,AAO88196.1,AAS99254.1,ABA71701.1,AAS99250.1,ACB55307.1,AAS99246.1,AAS99293.1,ACB55308.1,AAO88207.1,AAS99270.1,AKU89595.1,AAS99302.1,AAS99240.1,ACB55302.1,NP_044927.1,AAS99263.1,ABI16639.1,AAS99252.1,AAS99291.1,ACB55303.1,AAS99266.1,AGA15927.1,YP_068409.1,AAS99281.1,AAO88209.1,AAS99304.1,AAS99273.1,ACB55314.1,AAO88204.1,AAB95450.1,AAS99303.1,AAS99256.1,AAO88192.1,AAS99292.1,AAS99267.1,AAZ79672.1,APD78414.1,AAU05371.1,AAO88195.1,ABZ10812.1,AAS99299.1,AAS99295.1,ACB55316.1,AAS99244.1
1877,2394,2480,2801,2414,1541,1592,1630,2241,1625,0,1610,241,2818,272,1965,3132,1976,1459,1965,2477,288,1541,1704,1452,1850,1641,2384,2820,1950,2800,2902,2356,1783,1532,1630,1569,2087,2380,2702,450,1487,1680,1452,2544,1369,1368,1554,2417,3043,1521,2387,387,1340,272,231,1554,2530,1607,1579,1496,2418,1467,1571,1573,489,2629,190,1360,2730,2346,1666,1548,1814,2194,1582,1826,2404,1472,1503,1591,1494,2464,1706,1554,2504,1516,1648,498,2318,1524,2141,1683,1540,1632,490,1632,1542,2848,1392,490,1603,1409,1494,1864,2506,2334,1718,1950,1607,1632,1528,2511,2530,1554,2704,1931,313,1630,1634,1680,1508,2499,1412,1569,1661,1618,2554,1481,2292,1821,1971,2847,1946,3020,1693,1792,504,2508,559,1466,1524,1792,2917,1469,324,1554,1601,2342,2281,1615,1392,1783,2398,1446,1418,1768,1500,405,1783,2364,1704,2630,2315,2466,1590,1631
2733,2020,1562,1825,1809,2322,2477,3105,1715,1468,1610,0,372,1761,319,2263,1844,2064,2214,2263,1844,326,3142,2866,2301,2602,3024,2020,1815,2254,1778,1844,1996,2121,2862,3281,2858,2396,2020,1687,677,1860,1992,2767,1949,2018,1997,2252,1850,1891,2143,2011,573,2641,319,236,2917,1892,2737,3142,1847,1840,2812,2976,3262,677,1864,363,1827,1782,1769,2673,2311,2632,1840,2735,2822,1854,2116,2942,2939,2124,2044,2745,2339,1606,2262,1539,609,1957,2493,2279,2021,2983,3315,718,3324,2236,1879,2203,718,1468,2824,2124,1814,1864,1820,2957,1655,2734,3302,2236,1949,1892,1827,1633,2414,314,3075,2991,1992,3153,1949,2488,2880,1999,2900,1949,2266,1831,1814,2023,1880,2526,1765,2734,2130,621,1949,531,2235,1835,2130,1853,1644,325,1827,2973,1840,1950,2954,1964,2121,1830,2531,2253,1781,2756,495,2121,1918,2937,1920,1707,1939,2953,3209
392,392,291,392,392,389,407,391,399,366,241,372,0,404,221,392,392,391,390,392,392,221,384,391,392,392,391,392,392,392,418,392,392,366,368,391,387,394,392,406,153,236,366,361,392,352,352,407,405,392,407,392,153,228,221,175,342,392,373,391,406,398,358,391,391,153,386,184,259,392,326,394,387,412,392,371,373,383,371,376,341,371,392,391,389,390,357,364,272,392,313,391,366,390,391,153,391,400,392,361,153,366,376,371,366,308,312,391,237,373,391,407,392,392,406,353,373,785,391,391,366,391,392,371,369,366,373,392,389,392,366,351,392,393,392,391,366,172,392,148,388,366,366,392,366,684,406,391,392,391,373,313,366,392,345,371,366,376,308,366,392,391,406,388,392,373,391
2028,2558,2637,3141,2578,1651,1702,1781,2665,1767,2818,1761,404,0,403,2085,3067,2118,1569,2085,2615,419,1774,1855,1562,1985,1792,2565,3146,2070,3136,2985,2506,1905,1683,1781,1665,2271,2544,2908,550,1609,1802,1596,2725,1479,1478,1708,2589,3209,1675,2551,447,1475,403,316,1705,2671,1727,1648,1618,2608,1868,1722,1724,549,2786,339,1350,3054,2459,1817,1658,1965,2300,1733,1977,2602,1582,1654,1742,1604,2628,1855,1664,2787,1649,1718,702,2482,1621,2325,1805,1691,1783,590,1783,1696,3010,1502,590,1721,1560,1604,1986,2588,2356,1869,2109,1727,1783,1682,2686,2671,1676,2868,2112,401,1781,1785,1802,1616,2663,1563,1720,1783,1769,2718,1591,2472,1941,2068,3170,2120,2985,1844,1914,606,2672,652,1576,1768,1914,3099,1611,412,1676,1752,2523,2445,1766,1448,1905,2579,1578,1528,1941,1651,408,1905,2528,1855,2728,2496,2647,1741,1782
347,343,262,368,350,352,366,318,385,295,272,319,221,403,0,336,368,350,306,336,350,2884,338,315,308,338,303,343,368,320,332,368,343,346,320,336,303,343,343,347,245,294,294,237,350,245,245,321,308,368,321,343,240,298,3359,2616,319,349,354,337,253,308,354,300,338,282,367,206,217,368,275,358,352,366,343,320,320,350,306,288,319,306,350,358,352,347,313,306,564,343,210,356,311,303,338,283,338,321,368,307,283,295,288,306,306,304,297,338,266,354,338,315,350,349,253,266,349,255,318,303,294,327,350,295,320,311,318,350,349,350,306,324,368,343,368,345,329,228,350,262,351,293,329,356,295,204,253,303,350,342,320,266,346,350,264,294,306,259,168,346,343,315,296,350,350,320,338
2711,2040,1759,2159,2007,2040,2203,2285,1878,1734,1965,2263,392,2085,336,0,2215,1996,1861,3325,2048,343,2196,2167,2079,2889,2299,2040,2159,3213,2110,2096,2016,2097,2250,2277,2264,2272,2040,2011,724,1835,1968,2153,2143,1668,1647,1998,2171,2215,1943,2038,620,2046,336,242,2303,2086,2287,2133,1817,2162,2204,2215,2225,724,1890,371,1495,2143,1963,2223,2028,2408,1851,2262,2600,2064,1795,2161,2319,1795,2064,2263,2053,1941,1872,1553,618,1977,1829,2092,1997,2184,2278,765,2287,1986,2214,1981,765,1761,2043,1795,1789,2058,1840,2459,1675,2276,2287,1982,2143,2086,1795,1936,1920,345,2255,2290,1968,2116,2143,1764,2266,1997,2360,2143,1980,1913,1789,1955,2214,2358,2075,2228,2106,667,2143,577,1985,1678,2106,2177,1664,359,1771,2250,1934,1948,2397,1642,2097,2003,1892,1908,1753,2027,503,2097,2033,2176,2267,1919,2143,2339,2286
2111,2636,2739,3059,2656,1774,1825,1864,2473,1897,3132,1844,392,3067,368,2215,0,2256,1692,2215,2676,384,1775,1938,1685,2083,1875,2626,3078,2200,3054,3161,2584,2055,1766,1864,1748,2344,2636,2920,550,1759,1952,1679,2786,1602,1601,1804,2691,3302,1771,2629,447,1558,368,281,1788,2719,1857,1720,1748,2692,1691,1805,1807,549,2888,339,1473,2989,2520,1900,1781,2048,2378,1816,2060,2663,1705,1737,1825,1727,2706,1939,1787,2705,1708,1868,621,2559,1704,2398,1955,1774,1866,590,1866,1792,3121,1625,590,1844,1643,1727,2136,2666,2434,1952,2186,1857,1866,1778,2753,2719,1806,2944,2188,389,1864,1868,1952,1699,2741,1646,1803,1933,1852,2796,1714,2533,2091,2206,3106,2203,3262,1927,2064,654,2750,652,1699,1788,2064,3176,1741,400,1806,1835,2584,2523,1849,1571,2055,2646,1661,1651,2038,1734,538,2055,2606,1938,2872,2557,2708,1824,1865
2163,2452,1989,2107,2333,2220,2045,2009,2252,1835,1976,2064,391,2118,350,1996,2256,0,1911,1996,2378,366,1994,2089,1922,2215,2023,2452,2171,1926,2114,2388,2380,2321,1998,2086,1986,2552,2452,2053,582,1966,2157,1875,2473,1809,1808,2050,2171,2248,1995,2459,444,1796,350,263,2025,2407,2042,1942,1805,2158,1926,1960,2028,581,2201,347,1680,2137,2202,2178,2233,2200,2200,1904,2080,2351,1918,1883,2044,1934,2476,2368,2233,1921,1831,1978,649,2358,1851,2797,2186,2012,2088,622,2088,2034,2262,1862,622,1792,1782,1934,2246,2345,2250,2102,2007,2042,2088,2034,2473,2407,1860,1949,2288,404,1979,2014,2157,1921,2441,1875,2040,2164,2051,2473,2158,2344,2203,3505,2168,2353,2104,2354,2330,663,2473,631,2116,1946,2330,2177,2087,409,1860,1983,2335,2321,2086,1778,2321,2318,1864,1876,2170,1813,556,2321,2423,2089,2180,2230,2450,2061,2087
2215,1711,1433,1699,1595,2308,2656,2236,1520,1325,1459,2214,390,1569,306,1861,1692,1911,0,1861,1674,322,2223,2374,2472,2110,2280,1711,1682,1891,1609,1692,1711,1913,2128,2293,2128,1987,1711,1502,582,1872,2004,2076,1735,3007,2986,2664,1633,1699,2568,1704,478,1947,306,231,2155,1678,2209,2200,1699,1624,2059,2204,2310,582,1650,356,2880,1619,1554,2109,2300,2319,1567,2039,2249,1598,3006,2121,2171,3194,1735,2157,2321,1406,2436,1650,665,1704,2084,2026,2029,2249,2305,623,2314,2625,1687,2415,623,1393,2003,3202,2012,1650,1511,2313,1370,2204,2314,2631,1735,1678,1677,1477,1963,376,2206,2267,2004,2177,1703,2285,2156,2029,2153,1735,2251,1682,2012,1870,1698,2157,1573,2154,1922,628,1735,607,2223,1786,1922,1628,1543,391,1677,2230,1681,1619,2206,2917,1913,1671,1997,3073,1976,2027,447,1913,1682,2387,1644,1539,1735,2191,2314
2703,2040,1759,2159,2007,2040,2195,2285,1878,1734,1965,2263,392,2085,336,3325,2215,1996,1861,0,2048,343,2196,2167,2071,2876,2299,2040,2159,3200,2110,2096,2016,2097,2247,2277,2261,2272,2040,2011,724,1835,1968,2150,2143,1668,1647,1998,2171,2215,1943,2038,620,2043,336,242,2300,2086,2287,2133,1817,2162,2201,2215,2225,724,1890,371,1495,2143,1963,2223,2028,2400,1851,2259,2593,2064,1795,2161,2316,1795,2064,2263,2053,1941,1872,1553,618,1977,1829,2092,1997,2184,2278,765,2287,1986,2214,1973,765,1761,2043,1795,1789,2058,1840,2452,1675,2276,2287,1982,2143,2086,1795,1936,1920,345,2255,2290,1968,2116,2143,1764,2263,1997,2357,2143,1980,1913,1789,1955,2214,2358,2075,2228,2106,667,2143,577,1977,1678,2106,2177,1654,359,1771,2250,1934,1948,2394,1642,2097,2003,1892,1908,1753,2027,503,2097,2033,2176,2267,1919,2143,2336,2286
1992,3087,2462,2604,3151,1880,1795,1864,2963,1968,2477,1844,392,2615,350,2048,2676,2378,1674,2048,0,366,1772,1942,1655,1976,1879,3106,2656,2033,2599,2837,3033,2124,1791,1864,1845,2484,3073,2446,553,1801,1994,1667,3313,1582,1581,1736,2366,2738,1681,3066,450,1583,350,263,1813,3249,1765,1814,1634,2353,1713,1809,1806,552,2540,347,1514,2517,3020,2038,1888,2050,2759,1841,1941,3158,1685,1741,1832,1707,3165,2076,1893,2416,1642,1971,654,2993,1706,2527,2023,1784,1866,593,1866,1724,2703,1595,593,1961,1640,1707,2178,3137,2885,1952,2642,1765,1866,1720,3225,3249,1692,2403,2288,404,1834,1872,1994,1864,3224,1654,1828,2001,1877,3291,1820,3084,2135,2328,2665,2084,2612,2065,2133,654,3241,652,1784,1863,2133,2630,1831,409,1692,1839,3072,2935,1874,1551,2124,3123,1658,1641,2102,1738,556,2124,3048,1942,2486,3113,3295,1849,1866
354,359,278,384,366,360,373,325,401,302,288,326,221,419,2884,343,384,366,322,343,366,0,345,331,316,345,310,359,384,327,348,384,359,353,327,343,310,350,359,363,252,301,301,244,366,261,261,328,324,384,328,359,247,305,2884,2523,326,365,361,344,260,324,361,307,345,289,383,206,233,384,291,374,360,373,359,327,327,366,322,295,326,322,366,374,360,364,329,322,593,359,226,372,318,310,345,290,345,328,384,315,290,302,295,322,322,320,313,345,282,361,345,322,366,365,260,266,365,255,325,310,301,334,366,311,327,318,325,366,357,366,322,340,384,350,384,361,336,235,366,278,359,300,336,365,302,204,260,310,366,358,327,282,353,366,272,301,322,266,190,353,359,331,303,366,366,327,345
2641,1872,1493,1756,1727,2253,2508,3109,1721,1396,1541,3142,384,1774,338,2196,1775,1994,2223,2196,1772,345,0,2813,2271,2510,2971,1872,1746,2185,1709,1775,1848,2054,2702,3221,2698,2304,1872,1635,702,1802,1925,2607,1867,1935,1914,2222,1776,1822,2113,1863,598,2481,338,255,2757,1810,2577,3094,1777,1776,2740,2921,3202,702,1773,405,1834,1713,1687,2581,2242,2638,1692,2575,2728,1781,2123,2848,2779,2131,1896,2653,2270,1537,2251,1472,642,1809,2438,2185,1954,2930,3255,743,3264,2215,1810,2173,743,1396,2730,2131,1747,1782,1672,2961,1507,2574,3242,2206,1867,1810,1755,1564,2254,333,3079,2936,1925,3093,1867,2433,2720,1932,2740,1867,2197,1759,1747,1953,1811,2432,1696,2641,2063,646,1867,556,2144,1850,2063,1784,1572,344,1755,2920,1760,1780,2794,1971,2054,1748,2371,2260,1747,2662,413,2054,1836,2884,1851,1635,1867,2793,3149
2637,1940,1656,1919,1903,2131,2335,2932,1772,1536,1704,2866,391,1855,315,2167,1938,2089,2374,2167,1942,331,2813,0,2229,2506,3187,1940,1909,2204,1870,1938,1916,2025,2601,2892,2569,2300,1940,1781,573,1833,1966,2548,2043,2118,2097,2183,1821,1985,2074,1931,469,2351,315,241,2628,1986,2522,2750,1950,1812,2523,3139,2867,573,1936,386,1985,1876,1860,2658,2123,2573,1760,2510,2726,1905,2277,3064,2643,2285,1964,2656,2144,1700,2609,1708,665,1877,2886,2251,1995,3081,2929,614,2929,2167,1973,2169,614,1541,2946,2285,1983,1958,1740,2879,1533,2524,2928,2167,2043,1986,1928,1708,2361,375,2902,3247,1966,2762,2011,2802,2638,1973,2598,2043,2071,1925,1983,2048,1974,2354,1859,2618,2034,629,2043,663,2030,1858,2034,1914,1717,389,1928,3142,1855,1848,2665,2124,2025,1924,2223,2184,1947,2877,506,2025,1911,3329,1930,1801,2033,2664,2847
